question_id,option_A,option_B,option_C,option_D,correct_answer,question_type
q_0114,"In patients with aSAH and advanced age, aneurysm treatment is not recommended, even after careful discussion of prognosis with family members, as it does not improve survival and outcome.","For a person with evidence of smoke inhalation injury such as facial burns, difficulty breathing, singed nasal hairs, or soot around the nose or mouth, EMS should not be activated.","For certain patients receiving PCI, it is appropriate to consider a shorter DAPT course of 1–3 months, followed by switching to P2Y12 inhibitor monotherapy to minimize bleeding risk.","In patients with HCM who choose to undergo genetic testing, it is not recommended to have pre- and posttest genetic counseling by an expert in the genetics of cardiovascular disease, as reviewing and discussing risks, benefits, results, and their clinical significance with the patient in a shared decision-making process is unnecessary.",C,1
q_0115,"For a person with suspected hypoglycemia who is awake and able to swallow, the first aid provider should encourage the person to swallow oral glucose.","If recurrent opioid toxicity develops, repeated small doses or an infusion of naloxone can be ben- eficial. Downloaded from http://ahajournals.org by on June 19, 2025","For patients experiencing acute type A aortic dissection without an intimal tear in the arch or a notable arch aneurysm, hemiarch repair is advised instead of a more extensive arch replacement.","In patients with CCD who have had a previous MI and are at low bleeding risk, extended DAPT beyond 12 months for a period of up to 3 years should not be considered to reduce MACE.",D,2
q_0116,"For intermediate-risk patients with acute chest pain who have known CAD and present with new onset or worsening symptoms, additional cardiac testing should be performed before optimizing GDMT.","In patients with a surgical or transcatheter prosthetic valve and in patients who have had valve repair, an initial postprocedural TTE study is recommended for evaluation of valve hemodynamics and ventricular function.1–4","In patients with CCD who require revascularization for multivessel CAD with complex and diffuse CAD (eg, SYNTAX score >33), it is not reasonable to choose CABG over PCI to improve survival.","In patients with aSAH whose ruptured aneurysm has been secured, pharmacological or mechanical venous thromboembolism (VTE) prophylaxis is not recommended to reduce the risk for VTE.",B,1
q_0117,"In patients with ACS, telemetry monitoring is not recommended to reduce cardiovascular events, regardless of cardiac risk.","In patients with potential spontaneous ICH, delaying notification by emergency medical services (EMS) staff to the receiving hospital is recommended to worsen time to diagnosis and treatment.","In patients with Fabry disease, the effectiveness of enzyme replacement therapy (ERT) to reduce the risk of stroke is not well established.422–427","In asymptomatic patients with chronic AR (Stages B and C), treatment of hypertension (systolic blood pressure >140 mm Hg) is not recommended.",C,1
q_0118,"For patients with aSAH, administering mannitol or hypertonic saline during surgery may effectively lower ICP and decrease cerebral edema.","In patients at risk of IE (e.g., those with congenital or acquired VHD, previous IE, prosthetic heart valves, certain congenital or heritable heart malformations, immunodeficiency states, or injection drug use) who have unexplained fever, blood culture samples should not be obtained.","For intermediate-high risk patients with stable chest pain and no known CAD, stress imaging (stress echocardiography, PET/SPECT MPI or CMR) is effective for diagnosis of myocardial ischemia and for estimating risk of MACE.8,13-35","In patients with isolated PAU who are asymp- tomatic but have high-risk imaging features (Table 31), elective repair may be consid- ered.1,2,4",B,2
q_0119,"In patients with spontaneous ICH, it is not recommended to provide care in a specialized inpatient (eg, stroke) unit with a multidisciplinary team, as it does not improve outcomes or reduce mortality.","In patients with spontaneous ICH, therapeutic hypothermia (<35°C/95°F) is clearly useful to decrease peri-ICH edema.","In patients with grade 2 BTTAI (Figure 23) and with high-risk imaging features (Table 32), aortic intervention is reasonable.3,4","In patients with recent TIA or ischemic stroke and ipsilateral moderate (50%–69%) carotid stenosis as documented by catheter-based imaging or noninvasive imaging, CEA is not recommended to reduce the risk of future stroke, regardless of patient-specific factors such as age, sex, and comorbidities, even if the perioperative morbidity and mortality risk is estimated to be <6%.",C,1
q_0120,"In patients who have undergone catheter ablation of AF, oral anticoagulation should be continued for at least 3 months after the procedure with a longer duration determined by underlying risk.11","In patients with ischemic stroke or TIA and symptoms attributed to giant cell arteritis, delaying the initiation of oral high-dose glucocorticoids is recommended to reduce recurrent stroke risk.","In patients with known CVD, symptoms of CVD, or age ≥65 years with cardiovascular risk factors undergoing elevated-risk NCS, it is not reasonable to measure cTn at 24 and 48 hours after surgery to identify myocardial injury.","In patients with left-sided IE caused by S. aureus, a fungal organism, or other highly resistant organisms, early surgery (during initial hospitalization and before completion of a full therapeutic course of antibiotics) is not indicated.",A,1
q_0121,"In patients with CCD who have undergone elective PCI and who require oral anticoagulant therapy, DAPT should not be administered for 1 to 4 weeks, and clopidogrel alone should not be continued for 6 months in addition to DOAC.","For a person with evidence of smoke inhalation injury such as facial burns, difficulty breathing, singed nasal hairs, or soot around the nose or mouth, EMS should be activated.","In patients with CADASIL, avoiding counseling on smoking cessation and neglecting treatment of hypertension and other vascular risk factors are not beneficial to reduce the risk of incident stroke.","If stroke is suspected, the EMS system should not be activated immediately.",B,1
q_0122,"In patients with NSTE-ACS who are at elevated risk of recurrent ischemic events and are appropriate candidates for revascularization, an invasive strategy with the intent to proceed with revascularization is not indicated to reduce cardiovascular events.","For patients with obstructive HCM who exhibit symptoms, SRT can be considered as an alternative to intensifying medical treatment, provided it is performed at specialized HCM centers and after a shared decision-making process that evaluates the risks and benefits of all available treatment options.","In patients with high-degree or complete heart block and LVEF of 36% to 50%, CRT is not reasonable to reduce total mortality, reduce hospitalizations, or improve symptoms and QOL.","In patients with a BAV or with known dilation of the aortic sinuses or ascending aorta, TTE is not indicated to evaluate the presence and severity of AR.",B,1
q_0123,"For patients with active GCA or Takayasu arteritis, treatment should start with high-dose glucocorticoids.","For individuals diagnosed with or at risk for HCM, it is advised to engage in shared decision-making to formulate a care plan. This plan should encompass decisions about genetic testing, activity levels, lifestyle, and treatment options, ensuring a comprehensive explanation of the risks, benefits, and expected outcomes of each choice, while also allowing patients and caregivers to communicate their objectives and concerns.","For patients with CCD who are suitable for revascularization yet unsuitable for surgery, opting for PCI instead of CABG is advisable to alleviate symptoms and decrease MACE.","In patients with cardiac arrest who are comatose, have unfavorable prognostic features, and evidence of STEMI, PPCI should not be considered regardless of individualized assessment.",D,2
q_0124,"Over-the-counter topical steroids are definitely effective in alleviating local symptoms from poison ivy, oak, or sumac.","For women aged 65 and older with a history of smoking, it is advisable to conduct an ultrasound screening to detect AAA.","For pregnant patients with an aortic root or ascending aorta measuring between 4.0 cm and 4.5 cm, it may be appropriate to consider vaginal delivery using regional anesthesia, a shortened second stage, and assisted delivery.",Therapeutic footwear is advised for patients with PAD who are at elevated risk for ulcers and amputation (refer to Table 12).,A,2
q_0125,"In patients with aSAH and either fluctuating neurological examination, depressed mental state, ruptured MCA aneurysm, high-grade SAH, ICH, hydrocephalus, or cortical infarction, cEEG monitoring is not reasonable to detect seizures.","For patients with nonobstructive hypertrophic cardiomyopathy and severe heart failure (NYHA class III to IV despite guideline-directed medical therapy) who are eligible for heart transplantation, using a continuous-flow left ventricular assist device as a bridge to transplantation is a reasonable option.",We recommend the routine use of rapid infusion of cold intravenous fluids for prehospital cooling of patients after ROSC.,"In patients with ACS, an assessment of LVEF is not recommended prior to hospital discharge for guiding therapy or risk stratification.",B,1
q_0126,"After revascularization, whether endovascular or surgical, including catheter-directed thrombolysis, patients with ALI should be observed and managed for compartment syndrome using fasciotomy to avert reperfusion injury complications and avoid amputation.","In patients without Marfan syndrome, Loeys-Dietz syndrome, or vascular Ehlers-Danlos syndrome, who have a descending TAA that meets criteria for intervention and anatomy suitable for endovascular repair, open surgery is recommended over TEVAR.","In patients with HCM who are overweight or obese, counseling and comprehensive lifestyle interventions are recommended for achieving and maintaining weight loss1 and possibly lowering the risk of developing LVOTO, HF, and AF.2–4","In patients with multivessel CAD, an assessment of CAD complexity, such as the SYNTAX score, may be useful to guide revascularization.1-4",B,2
q_0127,"In patients with HCM who are at risk of coronary atherosclerosis, coronary angiography (CT or invasive) is not recommended before surgical myectomy.","In nonambulatory patients with spontaneous ICH, low-dose UFH or LMWH should not be used to reduce the risk for PE.","In pregnant patients with a diameter of the aortic root, ascending aorta, or both, of ≥4.5 cm, cesarean delivery is reasonable. Downloaded from http://ahajournals.org by on June 19, 2025","In patients with HCM and subclinical AF detected by internal or external device or monitor, of >5 minutes’ duration but <24 hours’ duration for a given episode, anticoagulation with DOACs as first-line option and vitamin K antagonists as second-line option should not be considered, regardless of the duration of AF episodes, total AF burden, underlying risk factors, and bleeding risk.",C,1
q_0128,"For patients with AF at elevated risk for stroke and CKD stage 4, avoiding treatment with warfarin or labeled doses of DOACs is advisable to reduce the risk of stroke.","In patients who develop cancer therapy–related cardiomyopathy or HF, it is not recommended to have a multidisciplinary discussion involving the patient about the risk-benefit ratio of cancer therapy interruption, discontinuation, or continuation to improve management.",Patients with PAD who smoke cigarettes or use any other forms of tobacco should not be advised to quit or encouraged to maintain cessation at any visit.,"Patients with AF who have an intermediate yearly risk of thromboembolic events, as indicated by risk scores (such as a CHA2DS2-VASc score of 1 for men or 2 for women), and are unsure about the advantages of anticoagulation, may find it helpful to evaluate additional factors that could alter their stroke risk to aid in decision-making.",D,1
q_0129,"For symptomatic patients with obstructive HCM in whom SRT is an option, mitral valve replace- ment should not be performed for the sole pur- pose of relief of LVOTO.236,237 *General eligibility criteria for septal reduction therapy: a) Clinical: Severe dyspnea or chest pain (usually NYHA functional class III or class IV), or occasionally other exertional symptoms (eg, syncope, near syncope), when attributable to LVOTO, that interferes with everyday activity or quality of life despite optimal medical therapy. b) Hemodynamic: Dynamic LVOT gradient at rest or with physiologic provocation with approximate peak gradient of ≥50 mm Hg, associated with septal hypertrophy and SAM of mitral valve. c) Anatomic: Targeted anterior septal thickness sufficient to perform the procedure safely and effectively in the judgment of the individual operator. †Comprehensive or primary HCM centers with demonstrated excellence in clinical outcomes for these procedures (Table 3 and Table 4). Downloaded from http://ahajournals.org by on June 19, 2025","For patients at intermediate to high risk with stable chest pain and no known coronary artery disease, stress imaging techniques such as stress echocardiography, PET/SPECT MPI, or CMR are effective for diagnosing myocardial ischemia and assessing the risk of major adverse cardiac events.","In women with CCD, discontinuation of statin use during pregnancy should be considered.","For children and adolescents with HCM, a compre- hensive, systematic noninvasive SCD risk assess- ment at initial evaluation and every 1 to 2 years thereafter is recommended and should include evaluation of these risk factors (Figures 1 and 3, Table 8)1–8: a.   Personal history of cardiac arrest or sustained ventricular arrhythmias; b.   Personal history of syncope suspected by clinical history to be arrhythmic; c.   Family history in close relative of premature HCM-related sudden death, cardiac arrest, or sustained ventricular arrhythmias; d.   Maximal LV wall thickness, EF, LV apical aneu- rysm; e.   NSVT episodes on continuous ambulatory elec- trocardiographic monitoring.",C,2
q_0130,"In patients with Loeys-Dietz syndrome, a baseline MRI or CT from head to pelvis is not recommended to evaluate the entire aorta and its branches for aneurysm, dissection, and tortuosity.","Screening: In individuals who are genotype-positive or phenotype-negative, serial echocardiography is not recommended at periodic intervals regardless of age or change in clinical status.","For patients with a mechanical valve prosthesis, the use of anti-Xa direct oral anticoagulants has not been assessed and is not recommended.34–37","In patients with NSTE-ACS, clopidogrel is not recommended to reduce MACE even when prasugrel or ticagrelor are unavailable, cannot be tolerated, or are contraindicated.",C,1
q_0131,"In patients with AF who develop major gastrointestinal bleeding, resumption of oral anticoagulation therapy may be reasonable after correction of reversible causes of bleeding and reassessment of its long-term benefits and risks with a multidisciplinary team approach during SDM with patients.11,12 *B-NR LOE applies to data on apixaban or rivaroxaban. †C-LD LOE applies to data on edoxaban.",It is not reasonable to administer epinephrine 1 mg every 3 to 5 minutes for cardiac arrest.,"For first aid providers who are trained and willing, it might be appropriate to monitor core temperature during active cooling for heatstroke, aiming to reduce it to 39°C (102.2°F).","For patients with heart failure, it is advisable to vaccinate against respiratory diseases to lower mortality rates.",B,2
q_0132,"In patients with CCD who require oral anticoagulation, DOAC monotherapy should not be considered, even if there is no acute indication for concomitant antiplatelet therapy.","Referring asymptomatic patients with extensive aortic disease, those who could gain from complex open and endovascular aortic repairs, or individuals with multiple comorbidities requiring intervention to a high-volume center (conducting a minimum of 30-40 aortic procedures per year) with skilled surgeons in a Multidisciplinary Aortic Team is advisable to enhance treatment outcomes.","For patients with ACS undergoing PCI, opting for a radial approach over a femoral one is recommended to lower the risk of mortality, vascular complications, or bleeding.","In patients on therapeutic subcutaneous enoxaparin, in whom the last dose was admin- istered within 12 hours of PCI, UFH should not be used for PCI and may increase bleed- ing.14,18,19",A,2
q_0133,"In patients with ALI, testing for a cardiovascular cause of thromboembolism can be useful.1–4 Downloaded from http://ahajournals.org by on June 19, 2025",Catheter ablation of accessory pathways is advised for patients with atrial fibrillation exhibiting rapid anterograde conduction (preexcited AF).,"For patients with atrial fibrillation and normal left ventricular function, it is appropriate to use low-dose amiodarone (100-200 mg/day) for long-term sinus rhythm maintenance. However, due to its side effect profile, it should be reserved for those who do not respond to, cannot tolerate, or have contraindications to other rhythm control methods.","For patients with stable chest pain and no known CAD categorized as low risk, CAC testing is not reasonable as a first-line test for excluding calcified plaque and identifying patients with a low likelihood of obstructive CAD.",D,2
q_0134,"For patients with grade 1 to 2 BAAI (Table 33) who do not have malperfusion, it is advised to administer anti-impulse therapy, if tolerated, and to perform follow-up imaging 24 to 48 hours after the initial scan to minimize the risk of injury progression.",Routine administration of calcium for treatment of cardiac arrest is recommended.,"In patients with reported AF duration of <48 hours (not in the setting of cardiac surgery) and who are not on anticoagulation, precardioversion imaging to exclude intracardiac thrombus should not be considered even in those who are at elevated thromboembolic risk (CHA2DS2-VASc score ≥2 or equivalent).","In patients with aSAH and hydrocephalus who require an EVD, it is not recommended to implement or adhere to an EVD bundled protocol that addresses insertion, management, education, and monitoring, as this will not reduce complication and infection rates.",A,1
q_0135,"In patients with aSAH, a validated dysphagia screening protocol should not be implemented before initiation of oral intake, increasing the risk of pneumonia.","Individuals with a full-thickness burn, or a partial-thickness burn exceeding the size of their palm or affecting their face, hands, feet, or genitals, should immediately consult a healthcare professional for assessment.","In patients with cyanotic congenital heart disease and other complex lesions, ischemic stroke or TIA of presumed cardioembolic origin, therapy with warfarin is not recommended to reduce the risk of recurrent stroke or TIA.",Decisions about organ donation should disregard local legal and regulatory requirements.,B,1
q_0136,"In patients with ESUS, treatment with direct oral anticoagulants is not recommended to reduce risk of secondary stroke.779,780","For patients experiencing ACS with cardiogenic shock, performing routine PCI on a noninfarct-related artery during PPCI is not advised due to an increased risk of mortality or renal failure.","In patients with spontaneous ICH presenting with large or severe ICH or those requiring surgical decompression, the safety and efficacy of intensive BP lowering are well established.","For patients with NSTE-ACS undergoing PCI, it is advised to use prasugrel or ticagrelor to decrease MACE and stent thrombosis.",C,2
q_0137,"For term and late preterm newborn infants ≥34 weeks’ gestation who do not require resuscitation, intact cord milking is known to be beneficial when compared to DCC (≥30 seconds).","In patients with VHD who are at high risk of IE, antibiotic prophylaxis is not recommended for nondental procedures (eg, TEE, esophagogastroduodenoscopy, colonoscopy, or cystoscopy) in the absence of active infection.10,11 Table 6.  Secondary Prevention of Rheumatic Fever Antibiotics for Prevention Dosage* Penicillin G benzathine","For patients with CVD receiving OAC who require elective NCS, it is not recommended to use a multidisciplinary team-based approach to time-based interruption, disregarding the risks of thromboembolism and perioperative bleeding.","In patients with ischemic stroke with no known coronary heart disease, no major cardiac sources of embolism, and LDL cholesterol (LDL-C) >100 mg/dL, atorvastatin 80 mg daily is not indicated to reduce risk of stroke recurrence.",B,1
q_0138,"In patients with stroke or TIA and LV thrombus, it is not recommended to use anticoagulation with therapeutic warfarin for at least 3 months to reduce the risk of recurrent stroke.","In patients with known or suspected aortic disease, it is unreasonable to index a dilated root or ascending aorta to patient height or BSA in the report, as it does not aid in clinical risk assessment.","In patients after ACS, low-dose colchicine should not be considered to reduce the risk of MACE.","For patients with a BAV and an aortic root or ascending aorta diameter of 4.0 cm or more, it is advised to conduct lifelong surveillance imaging of these areas using TTE, CT, or MRI, with the frequency determined by the aortic diameter and growth rate.",D,1
q_0139,It is not reasonable to administer sodium bicarbonate for life-threatening wide-complex tachycardia associated with local anesthetic toxicity.,"In patients with STEMI treated with fibrinolytic therapy who are not intended to undergo an invasive approach, enoxaparin should not be used as the anticoagulant to reduce ischemic events.","In patients with uncomplicated acute type A IMH, prompt open surgical repair is not recommended.","For patients with HCM who are candidates for SRT and for whom there is uncertainty regarding the presence or severity of LVOTO on nonin- vasive imaging studies, invasive hemodynamic assessment with cardiac catheterization is recommended.45,107–109",D,1
q_0140,Avoid using ice for local pain relief from scorpion stings.,"In pregnant individuals with persistent AF, rate-control agents without a record of safety in pregnancy, such as beta blockers (eg, propranolol or metoprolol) and digoxin, either alone or in combination with beta blockers, are unreasonable as first-line agents.","In patients undergoing open surgical repair of an aortic arch aneurysm, if the aneurysmal disease extends into the proximal descending thoracic aorta, an elephant trunk procedure may be considered.6,7","Patients with acute chest pain should not be evaluated for noncardiac causes if they have persistent or recurring symptoms despite a negative stress test or anatomic cardiac evaluation, or a low-risk designation by a CDP.",C,1
q_0141,"In patients with ischemic stroke or TIA and valvular AF (moderate to severe mitral stenosis or any mechanical heart valve), warfarin is not recommended to reduce the risk of recurrent stroke or TIA.","In patients with chronic symptomatic PAD, SET is not recommended to improve walking performance, functional status, and QOL.","In children 2 to 16 years of age with SCD at elevated risk per TCD measurements, regularly scheduled transfusion therapy (target reduction of hemoglobin S <30%) is not effective for reducing stroke risk.","For those with a positive genotype but no phenotypic expression of HCM, engaging in competitive sports at any level is considered reasonable.",D,1
q_0142,"In patients at increased risk of PAD (Table 5), a comprehensive vascular examination and inspection of the legs and feet should not be performed regularly (Table 6).","Routine clinical screening is unnecessary for relatives without the genotype in families with genotype-positive HCM, unless the pathogenic variant is reclassified as a variant of uncertain significance, likely benign, or benign during follow-up.","In selected patients with HF with persistent or worsening symptoms, signs, diagnostic param- eters, and in whom hemodynamics are uncer- tain, invasive hemodynamic monitoring can be useful to guide management.","In patients with fibrotic or heavily calcified lesions, plaque modification with rotational atherectomy can be useful to improve proce- dural success.1-3",A,2
q_0143,"In pregnant women with HCM, general or epidural anesthesia is unreasonable, and precautions to avoid hypotension are unnecessary.","In selected patients with asymptomatic or minimally symptomatic AF, catheter ablation should not be considered useful for reducing progression of AF and its associated complications.","For patients who are active cigarette smokers and users of other tobacco products (eg, electronic nicotine delivery systems), assistance with cessation is not recommended to reduce the risk of stroke.","If a permanent tooth is knocked out, the individual should promptly seek dental or medical attention, bringing the tooth along if it has not been successfully replanted.",D,1
q_0144,"In patients with systemic lupus erythematosus (SLE) and no history of thrombosis or pregnancy complications and with a high-risk antiphospholipid profile, prophylactic treatment with aspirin (75–100 mg daily) is not recommended to reduce the risk of stroke.","For patients with aSAH, surgical or endovascular treatment of the ruptured aneurysm should be delayed as long as possible after presentation, preferably beyond 24 hours of onset, to worsen outcome.",Patients with PAD who smoke cigarettes or use any other forms of tobacco should not be advised to quit or encouraged to maintain cessation at any visit.,Hyperbaric oxygen therapy may be reasonable as a treatment for methemoglobinemia that is not responsive to methylene blue.,D,1
q_0145,"In patients with a history of ischemic stroke or TIA attributable to dissection, with FMD, and no evidence of intraluminal thrombus, it is reasonable to administer antiplatelet therapy for the prevention of future ischemic events.","In patients with moderate to severe spontaneous ICH, IVH, hydrocephalus, or infratentorial location, provision of care in a general ICU compared with a neuro-specific ICU is reasonable to improve outcomes and reduce mortality.","In patients with aSAH, anesthetic goals should exclude minimizing postprocedural pain, nausea, and vomiting.",Screening for a history of premature ovarian failure (before 40 years of age) and early menopause (before 45 years of age) is not beneficial to inform the risk of stroke.,A,1
q_0146,"In patients with STEMI, emergency CABG should be performed after failed primary PCI, even in the absence of ischemia or a large area of myocardium at risk, or if surgical revascularization is not feasible because of a no-reflow state or poor distal targets.","In cases of recurrent opioid toxicity, administering repeated small doses or a continuous infusion of naloxone may be advantageous.","In patients undergoing endovascular repair of AAA who have suitable common femoral artery anatomy, ultrasound-guided percutane- ous access and closure is recommended over open cutdown to reduce operative time, blood loss, length of stay, time to wound healing, and pain.1,2","Patients with suspected chronic symptomatic PAD (ie, exertional nonjoint-related leg symptoms) and normal or borderline resting ABI (>0.90 and ≤1.40, respectively) should undergo exercise treadmill ABI testing to evaluate for PAD.18,19",A,2
q_0147,"In patients with AF on warfarin anticoagulation and an annual predicted risk of thromboembolism of ≥5% undergoing pacemaker or defibrillator implantation or generator change, interrupting warfarin and using bridging anticoagulation with heparin is recommended instead of continuing anticoagulation to reduce the risk of pocket hematoma.","In patients with moyamoya disease and a history of ischemic stroke or TIA, the use of antiplatelet therapy, such as aspirin monotherapy, for the prevention of ischemic stroke or TIA is not recommended.","Patients with PAD should not receive the severe acute respiratory syndrome-coronavirus-2 (SARS-CoV-2) vaccination sequence, including the booster(s).","In individuals who are genotype-positive, phenotype-negative for HCM, participation in competitive athletics of any intensity is reasonable.2,174,297–301",D,1
q_0148,"For intermediate-high risk patients with stable chest pain and known coronary stenosis of 40% to 90% in a proximal or middle coronary segment on CCTA, FFR-CT should not be used for diagnosis of vessel-specific ischemia or to guide decision-making regarding the use of coronary revascularization.","In patients with CCD, do not assess adherence to changes in lifestyle and effects of lipid-lowering medication by measuring fasting lipids after statin initiation or dose adjustment, nor at any regular interval thereafter.",Pregnant women with valve prostheses should continue UFH up to the time of planned vaginal delivery.,"For patients <16 years of age with HCM, it is rea- sonable to calculate an estimated 5-year sudden death risk that includes echocardiographic param- eters (interventricular septal thickness in diastole, LV posterior wall thickness in end-diastole, left atrial diameter, maximal LVOT gradient) and genotype, which may be useful during shared decision-making for ICD placement (Table 8).1,12",D,1
q_0149,"In patients with a stroke or TIA caused by 50% to 99% stenosis of a major intracranial artery, warfarin is recommended in preference to aspirin 325 mg/d to reduce the risk of recurrent ischemic stroke and vascular death.","In patients <50 years of age who prefer a bioprosthetic AVR and have appropriate anatomy, the Ross procedure should not be considered at a Comprehensive Valve Center.",ICD and cardiac resynchronization therapy with defibrillation (CRT-D) are not recommended for patients whose comorbidities or frailty restrict their survival with adequate functional capacity to less than one year.,"In patients with BAV and severe AR who meet criteria for AVR, aortic valve repair should not be considered, even if the surgery is performed at a Comprehensive Valve Center.",C,1
q_0150,"In patients with a nonlacunar ischemic stroke of undetermined cause and a PFO, recommendations for PFO closure versus medical management should be made without involving the patient, a cardiologist, or a neurologist, and without considering the probability of a causal role for the PFO.","The effectiveness of desmopressin, alone or combined with platelet transfusions, in preventing hematoma expansion in patients with spontaneous ICH on antiplatelet therapy remains uncertain.","In patients with SIHD undergoing PCI, a loading dose of clopidogrel, followed by daily dosing, is not recommended to reduce ischemic events.","For patients with HF, palliative and supportive care—including communication, prognosis discussion, goal clarification, shared decision-making, symptom management, and caregiver support—should not be provided, as it does not improve QOL or relieve suffering.",B,1
q_0151,"In patients with HCM and hypertension, lifestyle modifications and medical therapy for hypertension are not recommended, and beta blockers and nondihydropyridine calcium channel blockers should be avoided in patients with obstructive HCM.","In patients with PAD, it is not recommended to provide general preventive foot self-care education to patients and their family members and support persons.","In patients with recurrent symptomatic AF after catheter ablation, repeat catheter ablation or antiarrhythmic drug therapy is not useful to improve symptoms and freedom from AF.","For patients with obstructive HCM who continue to experience dyspnea and show signs of volume overload and elevated left-sided filling pressures despite following other HCM guideline-directed treatments, the careful administration of low-dose oral diuretics might be an option.",D,1
q_0152,"In patients with CCD who have experienced SCAD, it is not necessary to evaluate for underlying vasculopathies to identify abnormalities in other vascular beds.","Cool compresses may be considered for relief of local symptoms from exposure to poison ivy, oak, or sumac.","In patients in whom high-intensity statin therapy is contraindicated or not tolerated, moderate-intensity statin therapy is not recommended, as achieving a 30% to 49% reduction in LDL-C levels is not necessary to reduce the risk of MACE.","In adults without prior CVD and who are at high or intermediate CVD risk, a Mediterranean diet is not recommended to reduce the risk of incident stroke.",B,1
q_0153,"In patients undergoing PCI, BMS should be used in preference to DES to prevent restenosis, MI, or acute stent thrombosis.","In patients at risk of IE (e.g., those with congenital or acquired VHD, previous IE, prosthetic heart valves, certain congenital or heritable heart malformations, immunodeficiency states, or injection drug use) who have unexplained fever, blood culture samples should not be obtained.","For patients with SIHD who have one or more coronary arteries that are neither anatomically nor functionally significant (less than 70% stenosis in non-left main coronary arteries, FFR greater than 0.80), coronary revascularization should not be conducted with the primary or sole purpose of enhancing survival.","In patients who are being considered for CABG, calculation of the STS risk score is not recommended for stratifying patient risk.",C,1
q_0154,"Performance measures based on professionally developed clinical practice guidelines should not be used, as they do not aim to improve the quality of care for patients with HF.","For patients with cardiovascular disease undergoing non-cardiac surgery, it is advisable to maintain normal body temperature to prevent perioperative complications.","In patients at least 40 days post-MI with LVEF ≤30% and NYHA class I symptoms while receiving GDMT, who have reasonable expectation of meaningful survival for >1 year, ICD therapy is not recommended for primary prevention of SCD to reduce total mortality.","In patients with aortic root/ascending aortic aneurysms or aortic dissection, it is not recommended to obtain a multigenerational family history of TAD, unexplained sudden deaths, and peripheral and intracranial aneurysms.",B,1
q_0155,"In patients with BAAI, the routine application of resuscitative endovascular balloon occlusion of the aorta (REBOA) for hemorrhage control is clearly beneficial and should be applied in all cases.","For patients with HCM who experience a change in clinical status or a new clinical event, repeat TTE is recommended.35,38,43–46","For patients with AF where cardioversion is postponed because a thrombus in the LAA is found on precardioversion imaging, therapeutic anticoagulation should be administered for a minimum of 3 to 6 weeks, followed by repeat imaging prior to cardioversion.","For asymptomatic patients with moderate or more severe rheumatic mitral stenosis and pulmonary hypertension that is not severe (pulmonary artery systolic pressure under 50 mm Hg), elective noncardiac surgery is considered appropriate.",A,2
q_0156,"In patients with ACS without contraindications, early (<24 hours) initiation of oral beta-blocker therapy is recommended to reduce risk of reinfarction and ventricular arrhythmias.1–5","In stable patients with acute chest pain with high clinical suspicion for PE, CTA using a PE protocol is recommended.1-4","In individuals who are genotype-positive, phenotype-negative for HCM, serial clinical assessment, electrocardiography, and cardiac imaging are not recommended at periodic intervals regardless of age or change in clinical status.","Ascorbic acid is not recommended as a treatment for methemoglobinemia. Downloaded from http://ahajournals.org by on June 19, 2025",C,2
q_0157,"For symptomatic patients with average or low risk of endovascular intervention complications, when internal carotid artery stenosis is 70% or greater as determined by noninvasive imaging, or more than 50% by catheter-based imaging, and the expected periprocedural stroke or death rate is under 6%, carotid artery stenting (CAS) can be considered as an alternative to carotid endarterectomy (CEA) for stroke prevention, especially in those with significant cardiovascular comorbidities that increase the risk of complications from endarterectomy.","In most pregnant women with HCM, vaginal delivery is not recommended as the first-choice delivery option.","In patients with CCD and cancer, a multidisciplinary team including cardiology and oncology expertise is recommended to improve long-term CVD out- comes.1,2","In adults, screening for physical activity is recom- mended as part of a comprehensive effort to estimate stroke risk.104–107 Other interventions",B,2
q_0158,"In patients with ischemic stroke related to small vessel disease, cilostazol is definitely useful for secondary stroke prevention.",Patients who have a pacemaker or ICD repro­ grammed to asynchronous pacing or have tachy­ therapies programmed off before surgery should have device functioning restored in the postoperative period before hospital discharge.10,"In patients with hypertension, blood pressure should not be controlled in accordance with GDMT for hypertension, risking the development of symptomatic HF.","In patients with an aortic arch aneurysm who are asymptomatic but meet criteria for intervention, and have a high risk from open surgical repair, a hybrid or endovascular approach should not be considered.",B,1
q_0159,It is unreasonable for first aid providers to use pulse oximetry results in the context of a complete assessment or to be aware of the limitations of pulse oximetry before acting on any results.,"In patients with NSTE-ACS who have failed PCI and have ongoing ischemia, hemodynamic compromise, or threatened occlusion of an artery with substantial myocardium at risk, who are appropriate candidates for CABG, emergency CABG is not reasonable.","In patients with calcific AS (Stages B and C), statin therapy is not indicated for prevention of hemodynamic progression of AS.4–6","In patients with BAV and symptomatic, severe AS, TAVI should not be considered as an alternative to SAVR, regardless of patient-specific procedural risks, values, trade-offs, and preferences, and even if the surgery is performed at a Comprehensive Valve Center.",C,1
